code,pubDate,statDate,NRTurnRatio,NRTurnDays,INVTurnRatio,INVTurnDays,CATurnRatio,AssetTurnRatio
sz.002516,2024-03-20,2023-12-31,1.983221,181.522908,4.492694,80.129989,0.783242,0.408607
sz.002517,2024-04-30,2023-12-31,4.507391,79.868816,47.238122,7.620967,1.010985,0.693542
sz.002518,2024-04-16,2023-12-31,3.978490,90.486588,3.534074,101.864690,1.229282,0.830279
sz.002519,2024-03-23,2023-12-31,1.756981,204.896971,0.869267,414.126309,0.368293,0.278795
sz.002520,2024-04-30,2023-12-31,4.782270,75.278065,1.300539,276.816609,0.828005,0.409120
sz.002521,2024-04-13,2023-12-31,4.641479,77.561488,5.564203,64.699328,1.266277,0.751169
sz.002522,2024-04-13,2023-12-31,13.657386,26.359364,2.244302,160.406363,1.055656,0.471223
sz.002523,2024-04-13,2023-12-31,1.366904,263.368931,1.506373,238.980351,0.551170,0.398646
sz.002524,2024-04-25,2023-12-31,10.874826,33.103978,10.410732,34.579807,3.668843,0.691965
sz.002526,2024-04-24,2023-12-31,2.118385,169.940765,2.811406,128.050082,0.832019,0.589822
sz.002527,2024-04-27,2023-12-31,3.555005,101.265694,2.070175,173.896242,0.869628,0.660391
sz.002528,2024-04-30,2023-12-31,1.399233,257.283889,3.669212,98.114030,0.491165,0.380038
sz.002529,2024-04-29,2023-12-31,1.602285,224.679099,1.792331,200.859231,0.686431,0.267143
sz.002530,2024-04-26,2023-12-31,4.166358,86.406410,2.036464,176.773877,0.835653,0.453766
sz.002531,2024-04-27,2023-12-31,1.628307,221.088548,3.389391,106.213489,0.868947,0.349675
sz.002532,2024-04-09,2023-12-31,17.086211,21.069622,2.609637,137.952177,1.248565,0.509166
sz.002533,2024-03-29,2023-12-31,6.695387,53.768363,10.887687,33.064835,2.643311,1.845355
sz.002534,2024-03-30,2023-12-31,4.030312,89.323119,1.866243,192.905369,0.747436,0.506432
sz.002535,2024-04-29,2023-12-31,2.244250,160.409923,3.340552,107.765072,1.113830,0.448902
sz.002536,2024-04-12,2023-12-31,5.255159,68.504115,3.226908,111.562180,1.528878,0.866406
sz.002537,2024-03-15,2023-12-31,6.530243,55.128120,7.685842,46.839626,1.452929,0.998144
sz.002538,2024-04-25,2023-12-31,67.195355,5.357513,3.728736,96.548395,1.526521,0.589239
sz.002539,2024-04-13,2023-12-31,43.874121,8.205293,5.919571,60.814920,2.441632,1.110472
sz.002540,2024-04-23,2023-12-31,3.404005,105.757770,9.257284,38.888229,1.544855,1.009349
sz.002541,2024-03-30,2023-12-31,9.687866,37.159885,2.427681,148.288504,1.775235,1.073039
sz.002542,2024-04-10,2023-12-31,0.752639,478.317106,1.336994,269.259536,0.410253,0.300465
sz.002543,2024-04-27,2023-12-31,7.807582,46.109024,4.794735,75.082904,1.337537,0.798543
sz.002544,2024-04-25,2023-12-31,1.190642,302.357861,3.053255,117.905217,0.623150,0.546177
sz.002545,2024-04-19,2023-12-31,6.463009,55.701608,2.893516,124.416796,0.855084,0.307755
sz.002546,2024-04-13,2023-12-31,2.062740,174.525149,1.870534,192.461909,0.200379,0.172155
sz.002547,2024-04-24,2023-12-31,2.814706,127.899680,4.553836,79.054855,0.966568,0.439752
sz.002548,2024-04-30,2023-12-31,38.359641,9.384864,5.491327,65.558247,1.996585,0.623429
sz.002549,2024-03-29,2023-12-31,5.058124,71.172632,6.384560,56.385678,0.392232,0.222882
sz.002550,2024-04-26,2023-12-31,4.518864,79.666044,1.808237,199.093021,1.095156,0.651207
sz.002551,2024-04-23,2023-12-31,2.390182,150.616117,2.187203,164.594001,0.619543,0.291225
sz.002552,2024-04-11,2023-12-31,2.191206,164.293078,4.227209,85.162755,1.041383,0.551935
sz.002553,2024-04-19,2023-12-31,3.590725,100.258313,3.664914,98.229147,0.970408,0.472958
sz.002554,2024-04-27,2023-12-31,4.883774,73.713484,2.688500,133.903664,1.074317,0.687378
sz.002555,2024-04-20,2023-12-31,11.361365,31.686332,,,1.524402,0.913456
sz.002556,2024-04-19,2023-12-31,42.976656,8.376641,6.798432,52.953636,2.804347,1.534277
sz.002557,2024-04-26,2023-12-31,15.484616,23.248882,3.822749,94.174275,1.008140,0.758453
sz.002558,2024-04-30,2023-12-31,20.328258,17.709339,,,1.260989,0.220032
sz.002559,2024-04-13,2023-12-31,3.254765,110.607047,1.250366,287.907869,0.642929,0.447570
sz.002560,2024-03-30,2023-12-31,3.580593,100.542013,8.993707,40.028020,1.564173,1.155450
sz.002561,2024-03-30,2023-12-31,26.206962,13.736808,12.763831,28.204767,0.299067,0.195940
sz.002562,2024-04-20,2023-12-31,6.644835,54.177414,2.940316,122.436486,1.504913,0.486991
sz.002563,2024-04-02,2023-12-31,10.483573,34.339439,2.319267,155.219247,1.009052,0.754558
