code,pubDate,statDate,dupontROE,dupontAssetStoEquity,dupontAssetTurn,dupontPnitoni,dupontNitogr,dupontTaxBurden,dupontIntburden,dupontEbittogr
sh.600093,2024-04-23,2023-12-31,,-0.246386,0.088062,0.955990,-6.376640,1.000053,2.364831,-2.696304
sh.600094,2024-04-16,2023-12-31,0.017919,2.413672,0.390144,0.982482,0.019368,0.298820,0.901928,0.071863
sh.600095,2024-04-13,2023-12-31,0.010064,2.858221,0.068442,1.021943,0.050343,0.619596,0.663664,0.122428
sh.600096,2024-03-26,2023-12-31,0.257624,3.013462,1.305565,0.823214,0.079544,0.834971,0.899794,0.105875
sh.600097,2024-03-29,2023-12-31,0.068486,1.578103,0.589276,0.910288,0.080904,0.973862,0.919487,0.090350
sh.600098,2024-04-10,2023-12-31,0.066082,2.743036,0.688310,0.878167,0.039856,0.804966,0.763636,0.064838
sh.600099,2024-03-30,2023-12-31,0.026307,1.598466,0.858983,1.000000,0.019159,1.115763,1.137799,0.015092
sh.600100,2024-04-27,2023-12-31,-0.052442,3.743993,0.527991,1.021756,-0.025964,1.009987,6.926715,-0.003711
sh.600101,2024-03-29,2023-12-31,0.065395,1.404955,0.692007,1.000000,0.067262,0.831820,1.024978,0.078891
sh.600103,2024-04-02,2023-12-31,0.031499,1.549176,0.445815,0.930406,0.049019,0.899423,0.974892,0.055904
sh.600104,2024-03-30,2023-12-31,0.049885,3.530633,0.745914,0.703183,0.026937,0.772349,0.979530,0.035606
sh.600105,2024-04-27,2023-12-31,0.015415,2.872378,0.539145,0.379987,0.026195,0.986703,0.601976,0.044102
sh.600106,2024-04-19,2023-12-31,0.046280,1.489083,0.017155,1.000000,1.811672,0.917211,0.930530,2.122658
sh.600107,2024-04-30,2023-12-31,-0.099966,2.049367,0.372451,1.029690,-0.127192,2.635179,2.183768,-0.022103
sh.600108,2024-04-25,2023-12-31,0.025289,2.146246,0.451892,1.036629,0.025154,0.950934,0.470011,0.056278
sh.600109,2024-04-25,2023-12-31,0.053958,3.441596,0.061400,0.984494,0.259367,0.819621,,
sh.600110,2024-04-10,2023-12-31,0.004409,2.357535,0.313003,0.560324,0.010663,0.508264,0.330678,0.063442
sh.600111,2024-04-19,2023-12-31,0.114390,1.861081,0.868451,0.903791,0.078309,0.837491,0.948564,0.098574
sh.600112,2024-04-30,2023-12-31,,-31.054191,0.122797,0.999314,-1.379804,1.000896,1.476973,-0.933374
sh.600113,2024-03-09,2023-12-31,0.092047,1.465680,0.268684,0.989401,0.236241,0.800046,1.031875,0.286162
sh.600114,2024-04-27,2023-12-31,0.078524,2.628778,0.582739,1.019323,0.050288,0.970248,0.648433,0.079931
sh.600115,2024-03-29,2023-12-31,-0.234410,8.153724,0.400332,0.948224,-0.075733,1.040590,3.075037,-0.023668
sh.600116,2024-04-25,2023-12-31,0.046443,2.044365,0.492397,1.039180,0.044397,0.793682,0.735727,0.076032
sh.600117,2024-03-20,2023-12-31,0.747730,6.824486,0.320942,1.346108,0.253611,0.999177,0.787404,0.322351
