code,pubDate,statDate,CAToAsset,NCAToAsset,tangibleAssetToAsset,ebitToInterest,CFOToOR,CFOToNP,CFOToGr
sz.002164,2024-04-26,2023-12-31,0.485241,0.514759,0.489768,3.043939,0.035536,1.321526,0.035536
sz.002165,2024-04-20,2023-12-31,0.500057,0.499943,0.329634,1.178745,0.035015,2.421739,0.035015
sz.002166,2024-04-10,2023-12-31,0.526588,0.473412,0.634311,5.653201,0.078042,1.185508,0.078042
sz.002167,2024-04-19,2023-12-31,0.404188,0.595812,0.253085,-4.117550,0.047594,,0.047594
sz.002168,2024-04-20,2023-12-31,0.428025,0.571975,-0.102419,1.275262,0.112343,14.599880,0.112343
sz.002169,2024-04-29,2023-12-31,0.457574,0.542426,0.271757,-3.139185,0.025042,,0.025042
sz.002170,2024-04-27,2023-12-31,0.297752,0.702248,0.263991,26.203220,0.076675,0.957453,0.076675
sz.002171,2024-04-26,2023-12-31,0.653135,0.346865,0.280430,8.545134,0.003852,0.300047,0.003852
sz.002172,2024-04-27,2023-12-31,0.588954,0.411046,-0.001407,5.214747,0.024981,1.080370,0.024981
sz.002173,2024-04-13,2023-12-31,0.321310,0.678690,0.740115,,0.013693,,0.013693
sz.002174,2024-04-29,2023-12-31,0.382318,0.617682,0.616169,4.808593,-0.141634,-2.519693,-0.141634
sz.002175,2024-04-27,2023-12-31,0.356481,0.643519,0.729297,42.030074,0.094447,0.603516,0.094447
sz.002176,2024-04-29,2023-12-31,0.373864,0.626136,0.479336,-44.050580,0.208125,,0.208125
sz.002177,2024-04-25,2023-12-31,0.298278,0.701722,0.926303,,0.356782,1.617982,0.356782
sz.002178,2024-04-30,2023-12-31,0.686616,0.313384,0.180045,5.854356,0.041804,1.097428,0.041800
sz.002179,2024-03-16,2023-12-31,0.775942,0.224058,0.544454,,0.153818,0.873309,0.153818
sz.002180,2024-04-27,2023-12-31,0.519259,0.480741,-0.062376,-10.732349,0.119215,,0.119215
sz.002181,2024-04-10,2023-12-31,0.203533,0.796467,0.701750,0.652380,-0.010542,-0.710386,-0.010542
sz.002182,2024-04-25,2023-12-31,0.357081,0.642919,0.412234,4.562173,0.045741,0.981139,0.045741
sz.002183,2024-04-12,2023-12-31,0.790044,0.209956,0.128893,1.157033,0.001230,0.868786,0.001230
sz.002184,2024-04-27,2023-12-31,0.835016,0.164984,0.282080,67.990498,0.102725,2.396870,0.102725
sz.002185,2024-04-02,2023-12-31,0.330148,0.669852,0.418356,3.221254,0.213415,8.670385,0.213415
sz.002186,2024-04-16,2023-12-31,0.222928,0.777072,0.405346,45.003327,0.086713,2.190620,0.086713
sz.002187,2024-03-23,2023-12-31,0.382068,0.617932,0.320976,2.769574,0.089107,12.878415,0.089107
sz.002188,2024-03-13,2023-12-31,0.878627,0.121373,0.398443,,0.129251,2.193053,0.129251
sz.002189,2024-04-26,2023-12-31,0.582015,0.417985,0.308683,-30.488223,-0.043836,,-0.043836
sz.002190,2024-03-19,2023-12-31,0.348943,0.651057,0.578819,13.757630,0.015226,0.470769,0.015226
sz.002191,2024-04-20,2023-12-31,0.427416,0.572584,0.621972,,0.119948,3.275024,0.119948
sz.002192,2024-04-18,2023-12-31,0.479487,0.520513,0.462851,,0.199581,0.714269,0.199581
sz.002193,2024-04-30,2023-12-31,0.264937,0.735063,0.330797,-15.395524,-0.070540,,-0.070540
sz.002194,2024-03-30,2023-12-31,0.706276,0.293724,0.792303,,0.196141,3.700515,0.196141
sz.002195,2024-04-18,2023-12-31,0.811041,0.188959,0.865283,,0.868591,1.480022,0.868591
sz.002196,2024-04-30,2023-12-31,0.519396,0.480604,0.241815,6.090701,0.066793,1.674918,0.066793
sz.002197,2024-04-30,2023-12-31,0.251548,0.748452,0.266470,0.108150,0.397882,,0.397882
sz.002198,2024-04-27,2023-12-31,0.684520,0.315480,0.841933,,0.184635,2.868679,0.184635
sz.002199,2024-04-18,2023-12-31,0.392291,0.607709,0.555914,-18.934819,-0.026704,,-0.026704
sz.002200,2024-04-26,2023-12-31,0.440968,0.559032,-0.005932,0.710896,0.452345,,0.452345
sz.002201,2024-04-23,2023-12-31,0.560248,0.439752,0.331770,2.728098,0.055418,2.456109,0.055418
sz.002202,2024-03-29,2023-12-31,0.444821,0.555179,0.178204,3.161967,0.036745,1.217999,0.036745
sz.002203,2024-04-30,2023-12-31,0.577263,0.422737,0.310672,5.459091,-0.010271,-0.668221,-0.010249
sz.002204,2024-04-19,2023-12-31,0.764274,0.235726,0.252199,,-0.013105,-0.433195,-0.013105
sz.002205,2024-04-27,2023-12-31,0.262146,0.737854,0.083832,-1.895583,-0.534664,,-0.534664
sz.002206,2024-04-15,2023-12-31,0.503307,0.496693,0.469513,15.091638,0.143667,2.300631,0.143667
sz.002207,2024-04-26,2023-12-31,0.623574,0.376426,0.237960,-2.349774,-0.081876,,-0.081876
sz.002208,2024-04-25,2023-12-31,0.951081,0.048919,0.172086,11.960693,0.136914,2.716188,0.136914
sz.002209,2024-04-12,2023-12-31,0.758850,0.241150,0.266332,7.353503,0.170156,4.688191,0.170156
sz.002210,2024-04-27,2023-12-31,0.308125,0.691875,-0.461605,1.788886,0.084347,1.830653,0.084347
sz.002211,2024-04-27,2023-12-31,0.721064,0.278936,0.132444,,-0.055511,,-0.055511
sz.002212,2024-04-20,2023-12-31,0.402789,0.597211,0.361684,-250.464374,0.165353,,0.165353
sz.002213,2024-04-12,2023-12-31,0.634931,0.365069,0.673116,,-0.054835,,-0.054835
sz.002214,2024-04-27,2023-12-31,0.678577,0.321423,0.746407,,-0.614429,,-0.614429
sz.002215,2024-04-27,2023-12-31,0.405351,0.594649,0.310854,4.209967,0.155296,3.127264,0.155296
sz.002216,2024-04-26,2023-12-31,0.473406,0.526594,0.506589,,0.051700,0.486616,0.051700
sz.002217,2024-04-30,2023-12-31,0.416587,0.583413,-0.932524,-14.997365,0.056988,,0.056988
sz.002218,2024-04-25,2023-12-31,0.387516,0.612484,0.557166,1.495317,0.074275,3.622392,0.074275
sz.002219,2024-04-18,2023-12-31,0.321701,0.678299,0.117919,1.093883,0.081041,7.477814,0.081041
sz.002221,2024-04-18,2023-12-31,0.436820,0.563180,0.212998,1.276747,0.096538,15.194504,0.096538
sz.002222,2024-04-20,2023-12-31,0.553339,0.446661,0.783515,,0.277938,1.031127,0.277938
sz.002223,2024-04-27,2023-12-31,0.587768,0.412232,0.622918,,0.266815,0.895015,0.266815
sz.002224,2024-04-30,2023-12-31,0.439013,0.560987,0.700369,,0.330819,4.480766,0.330819
sz.002225,2024-03-30,2023-12-31,0.644971,0.355029,0.343883,6.066853,0.070079,1.516979,0.070079
sz.002226,2024-03-23,2023-12-31,0.453922,0.546078,0.421936,9.891933,0.128781,1.145952,0.128781
sz.002227,2024-04-16,2023-12-31,0.366158,0.633842,0.592194,-2.491483,-0.009410,,-0.009410
sz.002228,2024-04-20,2023-12-31,0.595233,0.404767,0.286311,2.382963,0.041507,5.979669,0.041507
sz.002229,2024-04-30,2023-12-31,0.537751,0.462249,0.431173,-0.265814,0.056858,,0.056858
sz.002230,2024-04-23,2023-12-31,0.560383,0.439617,0.262157,28.035591,0.017799,0.570431,0.017799
sz.002231,2024-04-26,2023-12-31,0.901913,0.098087,0.571919,,-0.657508,,-0.657508
sz.002232,2024-04-13,2023-12-31,0.824985,0.175015,0.546758,,0.230602,9.779137,0.230602
sz.002233,2024-03-15,2023-12-31,0.496705,0.503295,0.798039,,0.215260,1.589989,0.215260
sz.002234,2024-03-19,2023-12-31,0.350982,0.649018,0.579734,-45.002704,-0.031444,,-0.031444
sz.002235,2024-04-30,2023-12-31,0.749993,0.250007,0.589303,,-0.000749,,-0.000749
sz.002236,2024-04-16,2023-12-31,0.776486,0.223514,0.618257,,0.142738,0.615199,0.142738
sz.002237,2024-03-27,2023-12-31,0.697253,0.302747,0.386805,3.223139,0.015739,2.117401,0.015739
sz.002238,2024-04-02,2023-12-31,0.349422,0.650578,0.427947,,0.336096,4.190600,0.336096
sz.002239,2024-04-26,2023-12-31,0.607353,0.392647,0.239841,4.200728,0.009122,0.737033,0.009122
sz.002240,2024-03-28,2023-12-31,0.415473,0.584527,0.559091,7.106113,0.192425,2.208772,0.192425
sz.002241,2024-03-28,2023-12-31,0.542972,0.457028,0.331649,3.985157,0.082698,7.996663,0.082698
sz.002242,2024-03-29,2023-12-31,0.739190,0.260810,0.425684,,0.079407,1.954482,0.079407
sz.002243,2024-03-27,2023-12-31,0.446683,0.553317,0.407244,3.265576,-0.126234,-1.056345,-0.126234
